2	86.55,85.54,83.52,83.93,92.87,87.5,91.65,95.28,95.05,92.66,91.95,92.13,92.51,91.76,91.65,91.05,90.84,88.63,92.01,88.25,89.05,90.67,91.85,87.57
3	70.16,69.75,71.24,71.58,71.12,85.42,98.6,102.02,104.26,103.5,103.85,103.77,103.47,102.39,103.35,103.72,104.3,102.82,101.22,85.98,73.92,77.24,76.55,83.84
4	74.92,0.0,73.92,70.74,61.6,80.97,90.45,94.75,94.92,91.95,91.81,92.61,92.67,91.71,90.19,90.94,91.73,94.25,91.81,76.94,75.29,80.38,83.49,94.69
7	69.54,65.71,70.79,66.77,64.69,70.33,70.7,71.18,71.17,70.77,70.37,71.28,71.08,72.91,72.59,68.52,67.41,69.3,70.97,68.33,69.0,64.76,0.0,62.73
8	81.36,80.67,80.49,80.1,80.08,81.89,86.42,90.02,92.34,92.64,90.96,91.87,92.54,93.14,92.71,94.2,93.76,92.85,92.4,90.15,90.52,89.27,87.03,83.77
9	0.0,0.0,0.0,0.0,85.23,83.37,89.11,90.0,92.25,91.16,88.53,88.33,88.06,86.8,89.3,89.32,89.76,91.93,92.11,89.37,81.12,79.83,82.16,89.08
10	0.0,0.0,0.0,0.0,90.63,93.5,98.6,98.59,98.87,99.41,98.29,93.36,93.52,92.4,95.15,96.73,98.02,99.6,101.37,100.26,79.79,80.24,78.18,85.69
11	104.97,95.54,78.52,0.0,85.71,91.91,95.13,99.55,99.45,99.79,98.84,96.85,96.74,94.54,97.54,99.74,98.1,99.84,103.96,103.53,86.69,98.63,98.22,92.39
12	0.0,92.94,69.0,0.0,0.0,89.88,95.35,97.27,97.93,98.02,94.73,94.8,94.93,92.38,93.87,94.26,93.27,94.88,98.3,97.41,101.47,82.7,94.39,85.46
13	87.05,85.03,82.66,85.22,84.83,86.38,92.84,93.74,95.82,95.76,91.13,93.25,91.13,91.3,92.17,93.17,91.01,92.43,96.24,96.99,95.1,95.65,93.76,87.3
14	0.0,79.88,0.0,77.19,99.28,94.51,101.25,97.42,99.15,93.26,89.16,97.75,98.82,93.88,93.19,94.15,95.84,98.57,104.88,104.22,0.0,115.51,81.09,0.0
15	91.2,83.55,0.0,0.0,103.17,92.05,98.94,92.9,95.83,93.99,91.17,94.1,94.66,92.52,93.89,92.95,96.53,100.26,102.11,92.77,92.77,88.81,86.54,85.28
16	0.0,0.0,0.0,0.0,99.77,90.11,95.66,95.74,98.58,99.14,96.7,94.86,96.17,96.08,97.43,97.76,97.65,98.93,100.69,101.7,97.39,90.7,102.73,102.78
17	0.0,0.0,0.0,0.0,104.96,96.67,101.5,100.42,99.1,111.16,82.06,0.0,0.0,111.92,84.1,93.87,80.25,106.78,105.6,103.79,0.0,0.0,0.0,0.0
20	0.0,0.0,0.0,0.0,89.0,96.26,101.72,104.21,105.5,0.0,108.64,0.0,0.0,80.24,100.28,103.04,0.0,0.0,105.69,100.8,0.0,0.0,0.0,0.0
