16	0.0,0.0,0.0,0.0,99.77,90.11,95.66,95.74,98.58,99.14,96.7,94.86,96.17,96.08,97.43,97.76,97.65,98.93,100.69,101.7,97.39,90.7,102.73,102.78	1192.0,970.0,959.0,737.0,498.0,1051.0,1717.0,1777.0,1767.0,2322.0,2344.0,2114.0,2038.0,2213.0,2276.0,2204.0,2077.0,2241.0,2155.0,2249.0,2285.0,1829.0,1558.0,1175.0
15	91.2,83.55,0.0,0.0,103.17,92.05,98.94,92.9,95.83,93.99,91.17,94.1,94.66,92.52,93.89,92.95,96.53,100.26,102.11,92.77,92.77,88.81,86.54,85.28	562.0,440.0,430.0,302.0,316.0,775.0,1331.0,1696.0,1763.0,2016.0,2059.0,2089.0,2017.0,2154.0,2066.0,1984.0,2068.0,2004.0,1925.0,1529.0,1501.0,1162.0,971.0,713.0
14	0.0,79.88,0.0,77.19,99.28,94.51,101.25,97.42,99.15,93.26,89.16,97.75,98.82,93.88,93.19,94.15,95.84,98.57,104.88,104.22,0.0,115.51,81.09,0.0	1064.0,865.0,827.0,674.0,700.0,1002.0,1635.0,1299.0,1206.0,1089.0,1171.0,1372.0,1401.0,1244.0,1165.0,1275.0,1434.0,1872.0,2168.0,2668.0,2533.0,1954.0,1677.0,1263.0
12	0.0,92.94,69.0,0.0,0.0,89.88,95.35,97.27,97.93,98.02,94.73,94.8,94.93,92.38,93.87,94.26,93.27,94.88,98.3,97.41,101.47,82.7,94.39,85.46	689.0,595.0,560.0,477.0,423.0,866.0,1274.0,1686.0,1700.0,1750.0,1512.0,1583.0,1581.0,1487.0,1448.0,1378.0,1149.0,1184.0,1788.0,1506.0,1536.0,1226.0,1038.0,786.0
11	104.97,95.54,78.52,0.0,85.71,91.91,95.13,99.55,99.45,99.79,98.84,96.85,96.74,94.54,97.54,99.74,98.1,99.84,103.96,103.53,86.69,98.63,98.22,92.39	1416.0,1210.0,1171.0,1062.0,865.0,1103.0,1668.0,1905.0,2034.0,2023.0,2084.0,2358.0,2368.0,2500.0,2191.0,2065.0,1965.0,2270.0,2264.0,3094.0,2913.0,2389.0,1969.0,1553.0
9	0.0,0.0,0.0,0.0,85.23,83.37,89.11,90.0,92.25,91.16,88.53,88.33,88.06,86.8,89.3,89.32,89.76,91.93,92.11,89.37,81.12,79.83,82.16,89.08	1371.0,1073.0,905.0,818.0,609.0,1366.0,2220.0,2420.0,2516.0,3196.0,3129.0,2807.0,2848.0,3330.0,3313.0,3231.0,3303.0,3256.0,3201.0,3584.0,3520.0,2889.0,2371.0,1647.0
8	81.36,80.67,80.49,80.1,80.08,81.89,86.42,90.02,92.34,92.64,90.96,91.87,92.54,93.14,92.71,94.2,93.76,92.85,92.4,90.15,90.52,89.27,87.03,83.77	776.0,711.0,626.0,591.0,629.0,827.0,1274.0,1588.0,1842.0,2284.0,2374.0,2126.0,2016.0,2394.0,2436.0,2490.0,2550.0,2231.0,1682.0,1678.0,1601.0,1374.0,1121.0,853.0
7	69.54,65.71,70.79,66.77,64.69,70.33,70.7,71.18,71.17,70.77,70.37,71.28,71.08,72.91,72.59,68.52,67.41,69.3,70.97,68.33,69.0,64.76,0.0,62.73	556.0,503.0,501.0,466.0,521.0,724.0,995.0,1306.0,1471.0,1595.0,1574.0,1694.0,1619.0,1740.0,1730.0,1872.0,1912.0,1818.0,1440.0,1298.0,1243.0,1099.0,823.0,633.0
4	74.92,0.0,73.92,70.74,61.6,80.97,90.45,94.75,94.92,91.95,91.81,92.61,92.67,91.71,90.19,90.94,91.73,94.25,91.81,76.94,75.29,80.38,83.49,94.69	815.0,815.0,802.0,779.0,858.0,1176.0,1515.0,1644.0,1479.0,1273.0,1185.0,1578.0,1610.0,1383.0,1331.0,1474.0,1575.0,1844.0,1903.0,1642.0,1655.0,1382.0,1127.0,904.0
2	86.55,85.54,83.52,83.93,92.87,87.5,91.65,95.28,95.05,92.66,91.95,92.13,92.51,91.76,91.65,91.05,90.84,88.63,92.01,88.25,89.05,90.67,91.85,87.57	675.0,591.0,546.0,564.0,572.0,981.0,1223.0,1500.0,1802.0,2130.0,2176.0,2259.0,2117.0,2369.0,2422.0,2607.0,2025.0,1385.0,1409.0,1317.0,1375.0,1253.0,1109.0,817.0
